chr1:14362-29370	WASH7P
chr19:15072125-15090547	SLC1A6
chr19:15121539-15134083	CCDC105
chr19:15160291-15169103	CASP14
chr19:15225785-15236610	ILVBL
chr19:15348301-15391262	BRD4
chr19:15363806-15443354	BRD4
chr19:15464332-15490612	AKAP8
chr19:15490859-15529932	AKAP8L
chr19:15532318-15543345	WIZ
chr19:15532318-15560762	WIZ
chr19:15562436-15575392	RASAL3
chr19:15566450-15575392	RASAL3
chr19:15579457-15590315	PGLYRP2
chr19:15726029-15740447	CYP4F8
chr19:15751707-15771570	CYP4F3
chr19:15783828-15807984	CYP4F12
chr19:15870144-15890798	CYP4F24P
chr19:15988834-16008930	CYP4F2
chr19:16023180-16045676	CYP4F11
chr19:16126444-16138272	LINC00661
chr19:16178317-16213813	TPM4
chr19:16187135-16213813	TPM4
chr19:16222490-16244445	RAB8A
chr19:16244838-16265472	HSH2D
chr19:16272179-16284336	CIB3
chr19:16308665-16346156	AP1M1
chr19:16472389-16582823	EPS15L1
chr19:16589868-16607003	CALR3
chr19:16660648-16683193	SLC35E1
chr19:16685718-16739015	MED26
chr19:16771938-16799816	TMEM38A
chr19:16974085-16991164	SIN3B
chr19:17003762-17137625	CPAMD8
chr19:17342694-17356151	NR2F6
chr19:17360830-17375605	USHBP1
chr19:17378185-17390162	BABAM1
chr19:17402940-17414282	ABHD8
chr19:17420337-17434106	DDA1
chr19:17462257-17488158	PLVAP
chr19:17516495-17526545	BISPR
chr19:17516495-17536148	MVB12A
chr19:17546318-17559376	TMEM221
chr19:17581253-17616977	SLC27A1
chr19:17622432-17632097	PGLS
chr19:17634110-17662835	FAM129C
chr19:17634110-17664648	FAM129C
chr19:17638047-17662835	FAM129C
chr19:17638047-17664648	FAM129C
chr19:17638078-17664648	FAM129C
chr19:17666403-17693971	COLGALT1
chr19:17712137-17799008	UNC13A
chr19:17830261-17845324	MAP1S
chr19:17858527-17899377	FCHO1
chr19:17935593-17958841	JAK3
chr19:17982782-18005983	SLC5A5
chr19:18043824-18054794	CCDC124
chr19:18045905-18054794	CCDC124
chr19:18062111-18109930	KCNN1
chr19:18111941-18124911	ARRDC2
chr19:18169805-18197813	IL12RB1
chr19:18169805-18209626	IL12RB1
chr19:18208603-18262499	MAST3
chr19:18318771-18345189	PDE4C
chr19:18318771-18359010	PDE4C
chr19:18417040-18434001	LSM4
chr19:18451397-18480763	PGPEP1
chr19:18530146-18545372	SSBP4
chr19:18553473-18632937	ELL
chr19:18642562-18654406	FKBP8
chr19:18704035-18717660	CRLF1
chr19:18747775-18778434	KLHL26
chr19:18747775-18781309	KLHL26
chr19:18794425-18893143	CRTC1
chr19:18942744-18979039	UPF1
chr19:18979355-19006953	CERS1
chr19:19010320-19030212	COPE
chr19:19030484-19039442	DDX49
chr19:19040010-19049858	HOMER3
chr19:19040010-19050444	HOMER3
chr19:19040010-19051161	HOMER3
chr19:19040010-19052041	HOMER3
chr19:19101696-19144861	SUGP2
chr19:19144387-19168987	ARMC6
chr19:19174803-19223841	SLC25A42
chr19:19230425-19249310	TMEM161A
chr19:19256376-19281098	MEF2B
chr19:19287713-19303400	BORCS8
chr19:19292685-19303400	BORCS8
chr19:19303008-19312678	RFXANK
chr19:19303575-19312678	RFXANK
chr19:19375174-19384074	TM6SF2
chr19:19431630-19469563	MAU2
chr19:19576149-19619741	GATAD2A
chr19:19740282-19754476	GMIP
chr19:19756010-19774503	ATP13A1
chr19:19778962-19794315	ZNF101
chr19:19779597-19794315	ZNF101
chr19:19821281-19843921	ZNF14
chr19:19867181-19887222	LINC00663
chr19:19903520-19932560	ZNF506
chr19:19976639-20004293	ZNF253
chr19:20011722-20046382	ZNF93
chr19:20115227-20150064	ZNF682
chr19:20115227-20150277	ZNF682
chr19:20278023-20311299	ZNF486
chr19:20578626-20607771	ZNF826P
chr19:20802745-20844402	ZNF626
chr19:20827509-20844402	ZNF626
chr19:21203426-21242852	ZNF430
chr19:21264953-21307883	ZNF714
chr19:21324813-21368805	ZNF431
chr19:21324813-21378856	ZNF431
chr19:21473962-21512241	ZNF708
chr19:21473963-21512212	ZNF708
chr19:21579921-21591601	ZNF493
chr19:21579921-21610296	ZNF493
chr19:21666517-21686040	LINC00664
chr19:21688354-21723469	ZNF429
chr19:21832470-21841410	LOC400682
chr19:21906843-21950430	ZNF100
chr19:21987751-22019010	ZNF43
chr19:21987751-22034870	ZNF43
chr19:22142997-22193745	ZNF208
chr19:22148897-22193745	ZNF208
chr19:22469252-22499978	ZNF729
chr19:22573899-22605148	ZNF98
chr19:22817126-22850472	ZNF492
chr19:22934985-22966973	ZNF99
chr19:23299777-23330014	ZNF730
chr19:23437856-23457053	IPO5P1
chr19:23582036-23598876	LINC01224
chr19:23835708-23870017	ZNF675
chr19:23921997-23941693	ZNF681
chr19:23945816-24010919	RPSAP58
chr19:24097676-24108494	ZNF726
chr19:24097684-24116769	ZNF726
chr19:24097684-24127515	ZNF726
chr19:24216207-24312769	ZNF254
chr19:24269962-24290154	ZNF254
chr19:28284339-28297688	LOC101927151
chr19:29493462-29504862	LINC01532
chr19:29777918-30016659	LOC284395
chr19:30017491-30055226	VSTM2B
chr19:30097170-30108162	POP4
chr19:30156327-30166383	PLEKHF1
chr19:30189793-30205963	C19orf12
chr19:30189793-30206452	C19orf12
chr19:30302901-30315224	CCNE1
chr19:31640776-31840431	TSHZ3
chr19:31799251-31840431	TSHZ3
chr19:32516768-32530759	LINC01533
chr19:32516768-32539805	LINC01533
chr19:32836514-32878573	ZNF507
chr19:32880956-32896445	LOC400684
chr19:33321419-33360683	SLC7A9
chr19:33369904-33462935	CEP89
chr19:33622998-33666703	WDR88
chr19:33685599-33699773	LRP3
chr19:33864575-33873592	CEBPG
chr19:34112873-34264414	CHST8
chr19:34175434-34264414	CHST8
chr19:34287751-34306666	KCTD15
chr19:34663352-34720420	LSM14A
chr19:34745456-34846471	KIAA0355
chr19:34855645-34893318	GPI
chr19:34855897-34893318	GPI
chr19:34856025-34893318	GPI
chr19:34895303-34917072	PDCD2L
chr19:34919268-34960798	UBA2
chr19:34972880-34992085	WTIP
chr19:35067638-35167936	SCGB1B2P
chr19:35248979-35264134	ZNF599
chr19:35307058-35323773	LINC01801
chr19:35417807-35436076	ZNF30
chr19:35491224-35517375	GRAMD1A
chr19:35521592-35531353	SCN1B
chr19:35522272-35531353	SCN1B
chr19:35531410-35557477	HPN
chr19:35549963-35597208	HPN-AS1
chr19:35563705-35597175	HPN-AS1
chr19:35615417-35626178	LGI4
chr19:35634154-35645205	FXYD7
chr19:35645625-35660788	FXYD5
chr19:35739559-35758867	LSR
chr19:35759881-35770724	USF2
chr19:35782989-35804709	MAG
chr19:35820069-35838260	CD22
chr19:35896509-35907742	LINC01531
chr19:35988119-36001391	DMKN
chr19:35988119-36001412	DMKN
chr19:35988119-36004560	DMKN
chr19:36024314-36036221	GAPDHS
chr19:36041095-36054560	ATP4A
chr19:36103646-36116251	HAUS5
chr19:36139125-36149686	COX6B1
chr19:36157418-36169387	UPK1A
chr19:36195389-36207940	ZBTB32
chr19:36249044-36260077	PROSER3
chr19:36266417-36279724	ARHGAP33
chr19:36279778-36288811	LINC01529
chr19:36290892-36304201	PRODH2
chr19:36316274-36342895	NPHS1
chr19:36347810-36358048	KIRREL2
chr19:36347952-36358048	KIRREL2
chr19:36359347-36370699	APLP1
chr19:36378854-36391564	NFKBID
chr19:36505401-36536874	LOC101927572
chr19:36505562-36523573	CLIP3
chr19:36525887-36545664	THAP8
chr19:36545783-36596012	WDR62
chr19:36605888-36616849	TBCB
chr19:36606730-36616850	TBCB
chr19:36630828-36641255	CAPNS1
chr19:36631029-36641255	CAPNS1
chr19:36632322-36641255	CAPNS1
chr19:36672962-36705575	ZNF565
chr19:36672962-36705986	ZNF565
chr19:36705504-36729675	ZNF146
chr19:36810618-36822620	LINC00665
chr19:36825355-36870105	ZFP14
chr19:36879532-36909576	ZFP82
chr19:36936021-36980337	ZNF566
chr19:36936021-36980804	ZNF566
chr19:37001589-37019248	ZNF260
chr19:37034517-37064197	ZNF529
chr19:37071155-37096178	ZNF529
chr19:37096207-37119499	ZNF382
chr19:37127523-37157755	ZNF461
chr19:37178514-37212238	ZNF567
chr19:37234380-37263716	ZNF850
chr19:37288452-37319013	ZNF790-AS1
chr19:37288465-37319013	ZNF790-AS1
chr19:37309224-37329286	ZNF790
chr19:37341260-37370477	ZNF345
chr19:37342553-37370477	ZNF345
chr19:37379026-37407193	ZNF829
chr19:37407231-37488834	ZNF568
chr19:37569124-37590933	ZNF420
chr19:37569124-37621268	ZNF420
chr19:37638340-37663338	ZNF585A
chr19:37638340-37663643	ZNF585A
chr19:37708828-37734826	ZNF383
chr19:37709182-37734826	ZNF383
chr19:37742787-37754515	LINC01535
chr19:37742787-37756437	LINC01535
chr19:37803739-37855358	HKR1
chr19:37808784-37855357	HKR1
chr19:37862059-37883966	ZNF527
chr19:37902060-37958339	ZNF569
chr19:37959960-37979554	ZNF570
chr19:37960473-37979554	ZNF570
chr19:37988063-37997989	ZNF793-AS1
chr19:37997841-38034239	ZNF793
chr19:38042273-38078248	ZNF571-AS1
chr19:38055155-38085647	ZNF571
chr19:38055155-38085693	ZNF571
chr19:38085731-38105079	ZNF540
chr19:38123389-38146313	ZFP30
chr19:38123389-38147162	ZFP30
chr19:38187264-38210089	ZNF607
chr19:38187264-38210691	ZNF607
chr19:38229203-38270230	ZNF573
chr19:38308051-38317278	LOC644554
chr19:38375463-38397346	WDR87
chr19:38701646-38714890	DPF1
chr19:38701646-38720354	DPF1
chr19:38755098-38783254	SPINT2
chr19:38794200-38806445	YIF1B
chr19:38810484-38819649	KCNK6
chr19:38826427-38861589	CATSPERG
chr19:38826443-38861589	CATSPERG
chr19:38880840-38890523	SPRED3
chr19:38880932-38890523	SPRED3
chr19:38899698-38916945	RASGRP4
chr19:38924340-39078204	RYR1
chr19:39109714-39127599	EIF3K
chr19:39138256-39221172	ACTN4
chr19:39292311-39303740	LGALS4
chr19:39306062-39322497	ECH1
chr19:39327028-39340617	HNRNPL
chr19:39327028-39342979	HNRNPL
chr19:39369195-39390463	SIRT2
chr19:39369195-39390502	SIRT2
chr19:39390340-39399534	NFKBIB
chr19:39405904-39421536	SARS2
chr19:39432041-39466453	FBXO17
chr19:39833099-39875488	SAMD4B
chr19:39833099-39875537	SAMD4B
chr19:39881943-39891277	MED29
chr19:39903750-39919055	PLEKHG2
chr19:39936186-39967308	SUPT5H
chr19:39936288-39967308	SUPT5H
chr19:39971052-39984424	TIMM50
chr19:39989557-39999121	DLL3
chr19:40267234-40276775	LEUTX
chr19:40476912-40487671	PSMC4
chr19:40502943-40526948	ZNF546
chr19:40534167-40562115	ZNF780B
chr19:40575059-40596845	ZNF780A
chr19:40578899-40596810	ZNF780A
chr19:40578899-40596845	ZNF780A
chr19:40736224-40771258	AKT2
chr19:40736224-40791302	AKT2
chr19:40854332-40884397	PLD3
chr19:40865549-40884397	PLD3
chr19:40885178-40896128	HIPK4
chr19:40953691-40971725	BLVRB
chr19:40973126-41082365	SPTBN4
chr19:41082757-41097305	SHKBP1
chr19:41099072-41135725	LTBP4
chr19:41103141-41135725	LTBP4
chr19:41107277-41135725	LTBP4
chr19:41171812-41196069	NUMBL
chr19:41171812-41196563	NUMBL
chr19:41197434-41221011	COQ8B
chr19:41197434-41222790	COQ8B
chr19:41223008-41246765	ITPKC
chr19:41246761-41255828	C19orf54
chr19:41256759-41271297	SNRPA
chr19:41281442-41302849	MIA-RAB4B
chr19:41284124-41302849	RAB4B
chr19:41284124-41314346	RAB4B-EGLN2
chr19:41305048-41314346	EGLN2
chr19:41305334-41314346	EGLN2
chr19:41430170-41456565	CYP2B7P
chr19:41497204-41524301	CYP2B6
chr19:41620337-41634288	CYP2F1
chr19:41725104-41767672	AXL
chr19:41732660-41767672	AXL
chr19:41768381-41813688	HNRNPUL1
chr19:41770079-41813688	HNRNPUL1
chr19:41770264-41813688	HNRNPUL1
chr19:41816068-41830788	CCDC97
chr19:41816385-41830788	CCDC97
chr19:41836228-41859788	TGFB1
chr19:41860322-41870078	B9D2
chr19:41892276-41903256	EXOSC5
chr19:41960075-42006559	PCAT19
chr19:42082531-42093197	CEACAM21
chr19:42212504-42231272	CEACAM5
chr19:42300522-42315591	CEACAM3
chr19:42363988-42375484	RPS19
chr19:42364337-42375484	RPS19
chr19:42387267-42411604	ARHGEF1
chr19:42388446-42411604	ARHGEF1
chr19:42470734-42497619	ATP1A3
chr19:42590262-42636625	POU2F2
chr19:42702745-42721944	DEDD2
chr19:42702745-42724304	DEDD2
chr19:42734338-42746736	GSK3A
chr19:42788817-42799948	CIC
chr19:42817477-42829214	TMEM145
chr19:42829761-42882921	MEGF8
chr19:42901280-42912604	LOC101930071
chr19:42905659-42931578	LIPE
chr19:42932690-42947200	CXCL17
chr19:43011458-43032661	CEACAM1
chr19:43084395-43099082	CEACAM8
chr19:43256839-43269831	PSG8
chr19:43258385-43269831	PSG8
chr19:43341149-43359870	PSG10P
chr19:43370613-43383871	PSG1
chr19:43371358-43383871	PSG1
chr19:43407768-43422076	PSG6
chr19:43428284-43441330	PSG7
chr19:43511809-43530631	PSG11
chr19:43568362-43586893	PSG2
chr19:43671895-43690688	PSG5
chr19:43696854-43709926	PSG4
chr19:43757434-43773715	PSG9
chr19:43857811-43867324	CD177
chr19:43979255-44008985	PHLDB3
chr19:44010871-44031408	ETHE1
chr19:44111376-44124014	ZNF428
chr19:44150247-44174498	PLAUR
chr19:44152719-44174498	PLAUR
chr19:44152723-44174498	PLAUR
chr19:44232149-44259188	SMG9
chr19:44300079-44324808	LYPD5
chr19:44395956-44405955	LOC100505715
chr19:44416776-44439411	ZNF45
chr19:44455375-44471752	ZNF221
chr19:44455397-44471752	ZNF221
chr19:44488322-44502477	ZNF155
chr19:44576297-44593766	ZNF284
chr19:44598482-44613983	ZNF224
chr19:44617515-44638969	ZNF225
chr19:44645710-44664462	ZNF234
chr19:44669215-44679582	ZNF226
chr19:44669215-44681838	ZNF226
chr19:44669249-44679582	ZNF226
chr19:44669249-44681838	ZNF226
chr19:44669308-44681838	ZNF226
chr19:44716681-44741421	ZNF227
chr19:44764033-44779470	ZNF233
chr19:44790501-44809178	ZNF235
chr19:44889808-44905777	ZNF285
chr19:44930423-44952766	ZNF229
chr19:44978645-45004575	ZNF180
chr19:45010211-45033548	CEACAM20
chr19:45041045-45060150	CEACAM22P
chr19:45116940-45140081	IGSF23
chr19:45147098-45169428	PVR
chr19:45174724-45187627	CEACAM19
chr19:45202421-45213986	CEACAM16
chr19:45251978-45263301	BCL3
chr19:45312316-45324678	BCAM
chr19:45349393-45392485	NECTIN2
chr19:45394477-45406946	TOMM40
chr19:45457842-45496604	CLPTM1
chr19:45542298-45574214	CLASRP
chr19:45582453-45594174	GEMIN7
chr19:45582518-45594782	GEMIN7
chr19:45582530-45594782	GEMIN7
chr19:45583163-45594174	GEMIN7
chr19:45596431-45650543	PPP1R37
chr19:45666186-45681501	TRAPPC6A
chr19:45715879-45737469	EXOC3L2
chr19:45754516-45808541	MARK4
chr19:45843998-45854778	KLC3
chr19:45854649-45873845	ERCC2
chr19:45882892-45908312	PPP1R13L
chr19:45910591-45927177	ERCC1
chr19:45988546-46000313	RTN2
chr19:46010688-46030240	VASP
chr19:46031025-46088122	OPA3
chr19:46049539-46088122	OPA3
chr19:46093023-46105466	GPR4
chr19:46112658-46142675	EML2
chr19:46112658-46148775	EML2
chr19:46171502-46186982	GIPR
chr19:46195741-46207248	QPCTL
chr19:46213887-46226754	FBXO46
chr19:46213887-46236429	FBXO46
chr19:46236509-46267797	BHMG1
chr19:46272967-46282877	DMPK
chr19:46286264-46296060	DMWD
chr19:46298968-46318605	RSPH6A
chr19:46318700-46366548	SYMPK
chr19:46367518-46377055	FOXA3
chr19:46393281-46405862	MYPOP
chr19:46436992-46476657	NOVA2
chr19:46498719-46521874	CCDC61
chr19:46651500-46664561	IGFL2
chr19:46801633-46841797	HIF3A
chr19:46806856-46846690	HIF3A
chr19:46850251-46894232	PPP5C
chr19:47104331-47114039	CALM3
chr19:47104407-47114039	CALM3
chr19:47150869-47164395	DACT3
chr19:47163621-47180713	DACT3-AS1
chr19:47164735-47174598	DACT3-AS1
chr19:47177573-47217577	PRKD2
chr19:47177573-47220384	PRKD2
chr19:47249303-47261832	FKRP
chr19:47278140-47288134	SLC1A5
chr19:47278140-47290545	SLC1A5
chr19:47278140-47291842	SLC1A5
chr19:47341415-47353547	AP2S1
chr19:47341415-47354026	AP2S1
chr19:47341415-47354252	AP2S1
chr19:47421933-47508333	ARHGAP35
chr19:47523101-47549033	NPAS1
chr19:47634080-47713893	SAE1
chr19:47634115-47713893	SAE1
chr19:47724079-47734451	BBC3
chr19:47724079-47736023	BBC3
chr19:47759731-47775210	CCDC9
chr19:47813104-47825327	C5AR1
chr19:47835404-47845272	C5AR2
chr19:47906375-47922785	MEIS3
chr19:47906375-47925490	MEIS3
chr19:47906381-47922785	MEIS3
chr19:47978398-47987521	KPTN
chr19:47990891-48018515	NAPA
chr19:48023942-48059113	ZNF541
chr19:48216601-48246391	EHD2
chr19:48260293-48272097	NOP53-AS1
chr19:48325097-48346586	CRX
chr19:48373723-48389654	SULT2A1
chr19:48497908-48528410	ELSPBP1
chr19:48551100-48614109	PLA2G4C
chr19:48711343-48744320	CARD8
chr19:48741518-48759203	CARD8
chr19:48773356-48790865	ZNF114
chr19:48774160-48790865	ZNF114
chr19:48799709-48823332	CCDC114
chr19:48835613-48867494	TMEM143
chr19:48867651-48879634	SYNGR4
chr19:48885827-48894810	KDELR1
chr19:48898132-48948188	GRIN2D
chr19:48958964-48969367	KCNJ14
chr19:48988528-49016446	LMTK3
chr19:49055429-49102684	SULT2B1
chr19:49078993-49102684	SULT2B1
chr19:49103857-49116694	FAM83E
chr19:49122548-49133663	SPHK2
chr19:49122790-49133663	SPHK2
chr19:49141296-49185502	SEC1P
chr19:49164664-49176338	NTN5
chr19:49199228-49209191	FUT2
chr19:49223842-49243970	RASIP1
chr19:49316274-49339934	HSD17B14
chr19:49340354-49371884	PLEKHA4
chr19:49384222-49401996	TULP2
chr19:49436939-49448226	DHDH
chr19:49471382-49496610	GYS1
chr19:49496705-49519252	RUVBL2
chr19:49588397-49611870	SNRNP70
chr19:49661016-49715098	TRPM4
chr19:49792892-49828474	SLC6A16
chr19:49843853-49864752	TEAD2
chr19:49843855-49865714	TEAD2
chr19:49866987-49878373	DKKL1
chr19:49871962-49891338	LOC101928295
chr19:49891475-49921256	CCDC155
chr19:49932655-49944808	SLC17A7
chr19:49956473-49974305	ALDH16A1
chr19:49977466-49989488	FLT3LG
chr19:49977818-49989488	FLT3LG
chr19:50015536-50029685	FCGRT
chr19:50016436-50029685	FCGRT
chr19:50058725-50083829	NOSIP
chr19:50084587-50094265	PRRG2
chr19:50145382-50161906	SCAF1
chr19:50180409-50191707	PRMT1
chr19:50194365-50216988	CPT1C
chr19:50243011-50266515	TSKS
chr19:50270180-50310369	AP2A1
chr19:50321536-50340237	MED25
chr19:50353992-50364001	PTOV1
chr19:50354377-50364001	PTOV1
chr19:50372290-50381613	AKT1S1
chr19:50380682-50392007	TBC1D17
chr19:50410084-50432788	NUP62
chr19:50410084-50432988	NUP62
chr19:50452250-50464429	SIGLEC11
chr19:50484962-50528643	VRK3
chr19:50529150-50552031	ZNF473
chr19:50553846-50570052	LOC400710
chr19:50553846-50578840	LOC400710
chr19:50655805-50666538	IZUMO2
chr19:50706885-50813801	MYH14
chr19:50818765-50832634	KCNC3
chr19:50837057-50848005	NAPSB
chr19:50902109-50921275	POLD1
chr19:50922195-50934309	SPIB
chr19:50936160-50969583	MYBPC2
chr19:50970042-50980003	FAM71E1
chr19:51020150-51054299	LRRC4B
chr19:51020150-51071302	LRRC4B
chr19:51125234-51141302	SYT3
chr19:51125234-51143092	SYT3
chr19:51152702-51162567	C19orf81
chr19:51385352-51399654	KLKP1
chr19:51446559-51456344	KLK5
chr19:51461887-51472228	KLK6
chr19:51461887-51472929	KLK6
chr19:51558883-51568141	KLK13
chr19:51558883-51568367	KLK13
chr19:51600863-51611647	CTU1
chr19:51628137-51639520	SIGLEC9
chr19:51645558-51656783	SIGLEC7
chr19:51656180-51685222	LOC101928517
chr19:51728335-51739221	CD33
chr19:51728335-51743274	CD33
chr19:51760964-51772582	SIGLECL1
chr19:51774520-51784488	LINC01872
chr19:51815102-51834102	IGLON5
chr19:51848409-51858096	ETFB
chr19:51848409-51869672	ETFB
chr19:51981897-51993859	CEACAM18
chr19:51994481-52003647	SIGLEC12
chr19:51994481-52005043	SIGLEC12
chr19:52021073-52035110	SIGLEC6
chr19:52074490-52092991	ZNF175
chr19:52114756-52133727	SIGLEC5
chr19:52192687-52208443	SPACA6
chr19:52196593-52208443	SPACA6
chr19:52196597-52208443	SPACA6
chr19:52216365-52227245	HAS1
chr19:52264453-52273779	FPR2
chr19:52298399-52329443	FPR3
chr19:52359056-52391189	ZNF577
chr19:52374551-52391189	ZNF577
chr19:52374551-52391229	ZNF577
chr19:52391278-52403717	ZNF649-AS1
chr19:52452387-52484620	ZNF350-AS1
chr19:52467593-52490079	ZNF350
chr19:52516577-52531680	ZNF614
chr19:52534632-52552377	ZNF432
chr19:52567719-52599018	ZNF841
chr19:52616345-52643191	ZNF616
chr19:52658125-52674896	ZNF836
chr19:52693055-52729678	PPP2R1A
chr19:52772824-52795976	ZNF766
chr19:52839498-52870376	ZNF610
chr19:52848682-52870376	ZNF610
chr19:52892093-52901010	ZNF528-AS1
chr19:52901121-52921657	ZNF528
chr19:52934667-52955192	ZNF534
chr19:52956829-53020131	ZNF578
chr19:53030909-53059303	ZNF808
chr19:53030962-53059303	ZNF808
chr19:53073526-53090427	ZNF701
chr19:53073917-53090427	ZNF701
chr19:53115618-53193834	ZNF83
chr19:53206066-53233135	ZNF611
chr19:53206066-53238297	ZNF611
chr19:53206066-53238307	ZNF611
chr19:53268066-53290044	ZNF600
chr19:53300661-53324922	ZNF28
chr19:53341785-53360902	ZNF468
chr19:53379425-53394599	ZNF320
chr19:53430388-53445847	ZNF321P
chr19:53452632-53466164	ZNF816
chr19:53471504-53496784	ZNF702P
chr19:53569867-53590290	ZNF160
chr19:53569867-53606687	ZNF160
chr19:53611132-53636171	ZNF415
chr19:53611132-53636173	ZNF415
chr19:53738634-53758103	ZNF677
chr19:53836972-53859372	ZNF845
chr19:53868946-53889841	ZNF525
chr19:53869005-53889841	ZNF525
chr19:53898386-53915262	ZNF765
chr19:53898386-53930574	ZNF765
chr19:53898386-53961515	ZNF765-ZNF761
chr19:53935227-53947925	TPM3P9
chr19:53935227-53961515	ZNF761
chr19:54040939-54083523	ZNF331
chr19:54041333-54083523	ZNF331
chr19:54042042-54083523	ZNF331
chr19:54057753-54083523	ZNF331
chr19:54057867-54083523	ZNF331
chr19:54296855-54327657	NLRP12
chr19:54369412-54379689	MYADM
chr19:54415991-54446969	CACNG7
chr19:54466290-54493469	CACNG8
chr19:54494403-54515920	CACNG6
chr19:54544080-54567207	VSTM1
chr19:54573201-54584634	TARM1
chr19:54641436-54659446	CNOT3
chr19:54663833-54676944	TMC4
chr19:54677106-54693733	MBOAT7
chr19:54681992-54693733	MBOAT7
chr19:54720147-54746711	LILRB3
chr19:54865233-54876721	LAIR1
chr19:54926605-54947899	TTYH1
chr19:54960340-54973226	LENG8
chr19:55043909-55057024	KIR3DX1
chr19:55084464-55099028	LILRA2
chr19:55085298-55099028	LILRA2
chr19:55235952-55248003	KIR3DL3
chr19:55281265-55295778	KIR2DL1
chr19:55315067-55325972	KIR2DL4
chr19:55327893-55342233	KIR3DL1
chr19:55344131-55360024	KIR2DS4
chr19:55361898-55378670	KIR3DL2
chr19:55385549-55402786	FCAR
chr19:55434877-55458873	NLRP7
chr19:55476647-55512510	NLRP2
chr19:55477710-55512510	NLRP2
chr19:55477711-55512510	NLRP2
chr19:55525075-55549632	GP6
chr19:55555692-55574585	RDH13
chr19:55555692-55580914	RDH13
chr19:55587221-55599291	EPS8L1
chr19:55644066-55660722	TNNT1
chr19:55692615-55720874	PTPRH
chr19:55773590-55791225	HSPBP1
chr19:55773591-55791751	HSPBP1
chr19:55795534-55823903	BRSK1
chr19:55824169-55836708	TMEM150B
chr19:55940105-55954230	SHISA7
chr19:55999870-56015691	SSC5D
chr19:55999870-56030466	SSC5D
chr19:56165416-56186082	U2AF2
chr19:56186561-56207133	EPN1
chr19:56187991-56207133	EPN1
chr19:56219798-56249768	NLRP9
chr19:56296763-56343460	NLRP11
chr19:56296763-56348128	NLRP11
chr19:56403058-56443702	NLRP13
chr19:56407311-56443702	NLRP13
chr19:56459198-56499995	NLRP8
chr19:56578050-56590166	LINC01864
chr19:56598729-56632742	ZNF787
chr19:56652535-56672262	ZNF444
chr19:56687389-56697144	GALP
chr19:56732672-56741768	ZSCAN5A
chr19:56732672-56826294	ZSCAN5A
chr19:56732672-56826296	ZSCAN5A
chr19:56879468-56891196	ZNF542P
chr19:56894120-56904970	ZNF582
chr19:56915694-56936400	ZNF583
chr19:56915718-56936400	ZNF583
chr19:56950693-56988770	ZNF667
chr19:56989243-57006805	ZNF667-AS1
chr19:56989493-57006805	ZNF667-AS1
chr19:57019212-57041583	ZNF471
chr19:57050317-57064504	ZFP28
chr19:57078890-57094262	ZNF470
chr19:57106664-57135544	ZNF71
chr19:57154527-57168614	SMIM17
chr19:57174020-57183123	ZNF835
chr19:57321445-57336374	PEG3
chr19:57321445-57352094	PEG3
chr19:57631509-57643293	USP29
chr19:57645464-57656570	ZIM3
chr19:57663094-57678856	DUXA
chr19:57702868-57734214	ZNF264
chr19:57752053-57774106	ZNF805
chr19:57778561-57791702	LOC105372476
chr19:57791335-57804936	ZNF460
chr19:57791853-57805436	ZNF460
chr19:57874803-57890925	ZNF547
chr19:57901218-57913919	ZNF548
chr19:57922515-57933307	ZNF17
chr19:57922529-57933307	ZNF17
chr19:57946693-57958465	ZNF749
chr19:58011222-58024519	ZNF773
chr19:58038693-58052244	ZNF549
chr19:58095344-58105258	ZIK1
chr19:58111253-58121466	ZNF530
chr19:58111253-58124089	ZNF530
chr19:58125587-58136085	ZNF134
chr19:58144535-58155414	ZNF211
chr19:58180303-58190520	ZSCAN4
chr19:58207643-58220579	ZNF154
chr19:58258164-58269527	ZNF776
chr19:58258164-58269528	ZNF776
chr19:58281020-58291984	ZNF586
chr19:58341662-58357606	ZNF587B
chr19:58361181-58376491	ZNF587
chr19:58380747-58400442	ZNF814
chr19:58417142-58427978	ZNF417
chr19:58417142-58427984	ZNF417
chr19:58469805-58485902	C19orf18
chr19:58488421-58514714	ZNF606
chr19:58545434-58565999	ZSCAN1
chr19:58570607-58581110	ZNF135
chr19:58595209-58609730	ZSCAN18
chr19:58595209-58629793	ZSCAN18
chr19:58637695-58662148	ZNF329
chr19:58694356-58724928	ZNF274
chr19:58740047-58775008	ZNF544
chr19:58740280-58762521	ZNF544
chr19:58790318-58807254	ZNF8
chr19:58790332-58827023	ZNF8-ERVK3-1
chr19:58816740-58827023	ERVK3-1
chr19:58838385-58853712	ZSCAN22
chr19:58878990-58892389	ZNF837
chr19:58920041-58929692	ZNF584
chr19:58988546-59000900	ZNF446
chr19:59009700-59023432	SLC27A5
chr19:59024897-59053079	ZBTB45
chr19:59070553-59086164	MZF1-AS1
chr19:59073284-59084942	MZF1
chr19:59086766-59095762	CENPBD1P1
chr19_gl000209_random:21905-129563	KIR2DS2
chr19_gl000209_random:21911-36449	KIR2DL2
chr19_gl000209_random:57209-68123	KIR2DL4
chr19_gl000209_random:70071-84658	KIR3DS1
chr19_gl000209_random:86691-96155	KIR2DL5A
chr19_gl000209_random:86746-96246	KIR2DL5B
chr19_gl000209_random:98112-113132	KIR2DS5
